No,Harga,Desc,Lokasi,Tanah,Bangunan,Kamar,WC
331,"69,883,000,000","RUMAH STRATEGIS BERADA DI JALUR UTAMA CIWASTRA. *HARMONI PARK*, Ciwastra, Bandung","Bandung, Ciwastra",90,40,2,1
332,550000000,"RUMAH MODERN DI REAL ESTATE BUMI PANYAWANGAN DEKAT TOL CILEUNYI, Cileunyi, Bandung","Bandung, Cileunyi",84,65,3,1
333,"2,96 M","HUNIAN MEWAH AMAN NYAMAN FASILITAS SUPER LENGKAP DI BANDUNG TIMUR. GRAND SHARON MAGNOLIA, Margahayu, Bandung","Bandung, Margahayu",225,175,3,2
334,"1,16 M","RUMAH MEWAH MURAH DI BANDUNG TIMUR. FASILITAS TERLENGKAP. DISKON HINGGA 100JT, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",95,84,3,2
335,"71,046,000,000","STRATEGIS! 10Menit DARI TOL GEDEBAGE, HUNIAN MEWAH GRAND SHARON BANDUNG, Rancasari, Bandung","Bandung, Rancasari",42,72,2,1
336,"1,2 M","Rumah Lux Baru - Minimalis 2Lantai di Cisaranten Arcamanik, Arcamanik, Bandung","Bandung, Arcamanik",150,130,4,4
337,1 M,"Rumah Lux Baru - Minimalis 2Lantai di Cisaranten Arcamanik, Arcamanik, Bandung","Bandung, Arcamanik",120,131,4,2
338,370000000,"Rumah baru, di Komplek, 200 meter dari Borma, Harga Murah..Masih nggak Mau ?, Cibiru, Bandung","Bandung, Cibiru",75,36,2,1
339,630000000,"Rumah Baru Minimalis di Antapani, Strategis, Fasilitas Lengkap, Antapani, Bandung","Bandung, Antapani",87,36,2,1
340,"1,6 M","Rumah cantik minimalis masih baru, Antapani, Bandung","Bandung, Antapani",119,110,3,2
341,"1,6 M","Rumah cantik minimalis masih baru, Antapani, Bandung","Bandung, Antapani",119,110,3,2
342,1 M,"Rumah Minimalis Di Komplek Taman Rafflesia Kawaluyaan Sukarno Hatta Bandung, Kiaracondong, Bandung","Bandung, Kiaracondong",157,150,4,2
343,695000000,"Rumah di Komplek Bumi Panyileukan Bandung Timur, Cibiru, Bandung","Bandung, Cibiru",144,90,2,2
344,"1,6 M","Rumah  Kokoh  2 Lantai Di Villa Bandung Indah Cileunyi Bandung, Cileunyi, Bandung","Bandung, Cileunyi",273,180,6,3
345,600000000,"Rumah Baru Murah CILENGKRANG VILLA&#39;S HOUSE (CVH) Ujung Berung Bandung, Ujungberung, Bandung","Bandung, Ujungberung",110,54,3,1
346,"2,3 M","Rumah Luas Di Ujungberung Bandung Timur, Ujungberung, Bandung","Bandung, Ujungberung",1207,152,6,4
347,750000000,"Rumah Toko Furnished di Griya Kuning Asri Ciwastra, Bandung Timur, Ciwastra, Bandung","Bandung, Ciwastra",78,120,3,1
