No,Harga,Desc,Lokasi,Tanah,Bangunan,Kamar,WC
2197,185000000,"Rumah Murah di Parakanmuncang Rancaekek, Rancaekek, Bandung","Bandung, Rancaekek",72,35,2,1
2198,380000000,"rumah cluster murah villa bandung indah cileunyi bandung, Cileunyi, Bandung","Bandung, Cileunyi",72,40,2,1
2199,595000000,"Rumah di Arcamanik bandung timur free design, Arcamanik, Bandung","Bandung, Arcamanik",98,40,2,1
2200,630000000,"Rumah di Arcamanik cisaranten bandung timur cluster, Arcamanik, Bandung","Bandung, Arcamanik",87,36,2,1
2201,380000000,"RUMAH CLUSTER BANDUNG MURAH 300JTAN CILEUNYI PROMO, Cileunyi, Bandung","Bandung, Cileunyi",72,40,2,1
2202,380000000,"RUMAH VILLA BANDUNG INDAH CILEUNYI CLUSTER MURAH 300JTAN, Cileunyi, Bandung","Bandung, Cileunyi",72,40,2,1
2203,197000000,"Rumah manglayang regency cileunyi bandung timur, Cileunyi, Bandung","Bandung, Cileunyi",60,50,2,1
2204,595000000,"Rumah jatihandap bandung timur BU, Padasuka, Bandung","Bandung, Padasuka",115,85,3,2
2205,365000000,"Rumah siap Huni baru renov @ Riung bandung, Bandung Wetan, Bandung","Bandung, Bandung Wetan",60,45,2,1
2206,"5,568,000,000","Rumah syariah montana dicibiru Bandung, Cibiru, Bandung","Bandung, Cibiru",78,40,2,1
2207,750000000,"Komplek Batu Permata Margacinta Buah Batu, Margacinta, Bandung","Bandung, Margacinta",118,200,6,4
2208,750000000,"Komplek Batu Permata Margacinta Buah Batu, Margacinta, Bandung","Bandung, Margacinta",80,160,4,2
2209,5 M,"Rumah di Cluster Btari kawasan Elite Summarecon Kota Tekopolis dan Kreatif, Gede Bage Bandung Timur, Gede Bage, Bandung","Bandung, Gede Bage",216,261,4,3
2210,650000000,"RUMAH SIAP HUNI, HARGA NEGO, CIWASTRA, BANDUNG TIMUR, Ciwastra, Bandung","Bandung, Ciwastra",90,160,3,2
2211,345000000,"Rumah murah Cluster ,strategis di ujung berung,arcamanik,sindanglaya bandung timur, Ujungberung, Bandung","Bandung, Ujungberung",60,30,2,1
2212,900000000,"Rumah minimalis di Arcamanik, Desain Eropa, Bebas banjir, Nego, Arcamanik, Bandung","Bandung, Arcamanik",160,60,3,2
2213,"1,5 M","Rumah Lux Cinambo Indah Siap Huni, Arcamanik, Bandung","Bandung, Arcamanik",100,180,3,2
2214,"5,568,000,000","Rumah syariah Montana Green cilengkrang, Cilengkrang, Bandung","Bandung, Cilengkrang",78,40,2,1
2215,749000000,"Rumah di Bandung Timur – LT 84 LB 45 Area Gedebage, Bandung Wetan, Bandung","Bandung, Bandung Wetan",45,85,2,1
2216,350000000,"Rumah Asri nan sejuk dengan konsep resort bernuansa syariah di area bandung timur.., Cileunyi, Bandung","Bandung, Cileunyi",72,40,2,1
2217,310000000,"CEPAAAAAAT.......Rumah murah di komplek area cibiru bandung timur...., Cibiru, Bandung","Bandung, Cibiru",84,45,2,1
2218,"1,9 M","Rumah taman persada residence Rancabolang Bandung, Gede Bage, Bandung","Bandung, Gede Bage",127,200,4,3
2219,"1,25 M","Perumahan Cijambe Indah, Ujungberung Bandung, Ujungberung, Bandung","Bandung, Ujungberung",127,110,4,3
2220,400000000,"Perum Bumi Pasundan, Sindanglaya Ujungberung Bandung, Mandalajati, Bandung","Bandung, Mandalajati",119,100,2,1
2221,450000000,"Komplek Perumahan Permata Cibiru Cinunuk, Cileunyi, Bandung","Bandung, Cileunyi",81,50,2,1
2222,"1,65 M","Kawaluyaan Indah VII Bandung, Buah Batu, Bandung","Bandung, Buah Batu",200,280,6,3
2223,850000000,"jalan Atletik Arcamanik, Arcamanik, Bandung","Bandung, Arcamanik",123,100,4,2
2224,750000000,"Komplek Batu Permata Buah Batu Bandung, Margacinta, Bandung","Bandung, Margacinta",80,80,2,1
2225,"1,1 M","Komplek Batu Permata Buah Batu Bandung, Margacinta, Bandung","Bandung, Margacinta",113,113,3,2
2226,"1,3 M","Komplek Batu Permata Buah Batu Bandung, Margacinta, Bandung","Bandung, Margacinta",128,128,3,2
2227,"1,25 M","Komplek Batu Permata Buah Batu Bandung, Margacinta, Bandung","Bandung, Margacinta",176,160,4,2
2228,"1,4 M","Rumah lux cluster graceland cicaheum !, Cicaheum, Bandung","Bandung, Cicaheum",115,90,4,3
2229,"1,02 M","Rumah eksotis di Kota Bandung, Antapani, Bandung","Bandung, Antapani",90,141,3,2
2230,"58,825,000,000","Rumah di Padasuka dekat cikutra cicaheum dp 30jt view kota, Padasuka, Bandung","Bandung, Padasuka",36,77,2,1
2231,"58,242,000,000","Rumah ready stok di Bandung Timur 5mnt alun-alun Ujung Berung, Ujungberung, Bandung","Bandung, Ujungberung",93,45,2,1
2232,"5,833,000,000","Rumah nyaman suasana pegunungan view kota dp ringan di Bandung Timur, Ujungberung, Bandung","Bandung, Ujungberung",36,84,2,1
2233,"58,338,000,000","Rumah dp murah view kota dekat alun alun Ujung Berung Bandung Timur, Ujungberung, Bandung","Bandung, Ujungberung",84,36,2,1
2234,375000000,"Rumah Cluster Bisa Design Sendiri Dekat Jalan Raya Cibiru, Cibiru, Bandung","Bandung, Cibiru",84,40,2,1
2235,"1,65 M","Rumah Dalam Komplek Sayap Antapani, Antapani, Bandung","Bandung, Antapani",215,175,3,3
2236,"1,15 M","Rumah Asri 1 Lantai di Komplek Istana Kawaluyaan, Bandung Timur - Siap Huni, Tanah Luas, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",187,170,3,2
2237,"1,8 M","Rumah Lux dan Asri di Margahayu, Bandung Timur - Sangat Siap Huni, Full Furnished, Margahayu, Bandung","Bandung, Margahayu",204,176,7,2
2238,345000000,"Rumah murah,nyaman,strtegis  di ujung berung bandung timur, Ujungberung, Bandung","Bandung, Ujungberung",60,30,2,1
2239,"1,7 M","Rumah Cantik Minimalis di Margahayu, Bandung Timur - Siap Huni, Dalam Komplek Eksklusif, Tipe Hook, Margahayu, Bandung","Bandung, Margahayu",127,200,3,4
2240,"1,7 M","Rumah Pasir Wangi Ujungberung – LT 215 LB 160, Bandung Wetan, Bandung","Bandung, Bandung Wetan",215,160,5,4
2241,"1,7 M","Hunian Cantik dan Asri di Kawasan Bandung Timur, Cicaheum, Bandung","Bandung, Cicaheum",258,250,4,4
2242,"2,5 M","Villa etnic di Ujungberung, Ujungberung, Bandung","Bandung, Ujungberung",1400,500,3,1
2243,349000000,"Rumah minimalis di Cilengkrang Bandung timur, Ujungberung, Bandung","Bandung, Ujungberung",84,45,2,1
2244,4 M,"Villa cantik mewah modern bangunan bagus kokoh terawat di Bandung timur, Ujungberung, Bandung","Bandung, Ujungberung",1660,500,5,5
2245,4 M,"Villa mewah modern cantik siap huni di Bandung timur, Ujungberung, Bandung","Bandung, Ujungberung",1660,500,5,5
2246,"5,475,000,000","Rumah Baru Dp Murah 8jt di Ciwastra Hrg 500jt dkt Tol Gedebage&amp;GBLA, Ciwastra, Bandung","Bandung, Ciwastra",74,44,2,1
2247,800000000,"Rumah komplek Vila Bandung Indah,di pegunungan Bdg Timur., Cileunyi, Bandung","Bandung, Cileunyi",204,190,3,4
2248,550000000,"cluster dp ringan bandung timur, Cilengkrang, Bandung","Bandung, Cilengkrang",80,42,2,1
2249,550000000,"Perumahab bandung timur dp rendah all in, Cilengkrang, Bandung","Bandung, Cilengkrang",80,42,2,1
2250,375000000,"Rumah Cluster Strategis Di Cibiru Bebas Banjir Free Design, Cibiru, Bandung","Bandung, Cibiru",84,40,2,1
2251,699000000,"Eksklusif Rumah 2 Lantai Harga Dibawah Pasar, Ciwastra, Bandung","Bandung, Ciwastra",84,80,3,2
2252,290000000,"Rumah murah cinunuk cibiru Bandung timur, Cibiru, Bandung","Bandung, Cibiru",98,40,2,1
2253,550000000,"TerMurah di kelasnya rumah di Margahayu raya Metro, Rancasari, Bandung","Bandung, Rancasari",80,60,2,1
2254,"1,4 M","Rumah Minimalis 2 Lantai Bandung Timur Dekat Summarecon, Cibiru, Bandung","Bandung, Cibiru",84,120,3,2
2255,275000000,"Rumah Sejuk Harga Murah di Daerah Bandung Timur, Ujungberung, Bandung","Bandung, Ujungberung",90,45,2,1
2256,680000000,"Rumah Lux Tanah Luas Murah Di Nagrog Ujung  bebas, Ujungberung, Bandung","Bandung, Ujungberung",94,60,3,2
2257,"1,29 M","Rumah Lux Hook Di Tengah Kota Bandung Dekat ke Cicaheum, Mandalajati, Bandung","Bandung, Mandalajati",120,54,3,2
2258,"1,22 M","Rumah Lux Hook Di Cilengkrang Bandung Timur Murah, Cilengkrang, Bandung","Bandung, Cilengkrang",136,90,4,3
2259,560000000,"Rumah Dp 30 jt all in Di Ujung Berung kota Siap Huni, Ujungberung, Bandung","Bandung, Ujungberung",84,36,2,1
2260,"51,739,000,000","Rumah Tanah Luas Dp 30 Jt All In Di Nagrog Ujung Berung Kota Bebas Biaya Kpr, Ujungberung, Bandung","Bandung, Ujungberung",,,,
2261,575000000,"Rumah Second Di Perumahan Elite Di Bandung Timur BIsa Kpr, Cicaheum, Bandung","Bandung, Cicaheum",40,72,2,1
2262,"96,412,000,000","Hunian Eksklusive dan asri 20 menit ke Tol Pasteur Dp Murah, Cicaheum, Bandung","Bandung, Cicaheum",75,62,3,2
2263,"66,712,000,000","Promo Akhir Tahun Rumah 2 Lantai Tanah Luas D Cilengkrang Dp 40 jt all in Bebas Biaya Kpr, Cilengkrang, Bandung","Bandung, Cilengkrang",98,60,3,2
2264,"41,103,000,000","Rumah Dp 30jt All in Suasana Alam Bandung Timur Di Ujung Berung Bandung, Ujungberung, Bandung","Bandung, Ujungberung",70,36,2,1
2265,750000000,"Rumah Over Kredit Tanah Luas Di Padasuka Bandung, Padasuka, Bandung","Bandung, Padasuka",135,60,2,1
2266,"1,28 M","Rumah Suasana Alam Di Tengah Kota Bandung Dekat Cicaheum Akses Antapani, Arcamanil dp 70 jt Bebas BIaya Kpr, Cicaheum, Bandung","Bandung, Cicaheum",137,45,3,1
2267,550000000,"Rumah Over Kredit Dp 140 jt Di Ciganitri Bojong Soang Dekat Tol Buah Batu, Bojongsoang, Bandung","Bandung, Bojongsoang",36,84,2,1
2268,580000000,"Rumah bagus murah letak strategis bebas banjir di Ciganitri Bandung Timur, Buah Batu, Bandung","Bandung, Buah Batu",140,70,2,1
2269,"58,354,000,000","Rumah Suasana Alam Bandung Timur dp 30 jt All in Bebas biaya Kpr dekat Alun alun ujung Berung, Ujungberung, Bandung","Bandung, Ujungberung",126,36,2,1
2270,"8,421,000,000","Rumah 2 Lantai di Pasir Impun Bandung timur kpr dp Murah, Mandalajati, Bandung","Bandung, Mandalajati",90,60,3,2
2271,4 M,"Villa siap huni mewah luas di Bandung timur, Ujungberung, Bandung","Bandung, Ujungberung",1660,500,5,5
2272,4 M,"Villa mewah luas dengan akses jalan yang mudah di daerah Bandung timur, Ujungberung, Bandung","Bandung, Ujungberung",1660,500,5,5
2273,4 M,"Villa cantik siap huni daerah Bandung timur, Ujungberung, Bandung","Bandung, Ujungberung",1660,500,5,5
2274,4 M,"Villa mewah 2 lantai di Sindanglaya Bandung, Ujungberung, Bandung","Bandung, Ujungberung",1660,500,5,5
2275,4 M,"Rumah villa siap huni daerah Bandung timur, Ujungberung, Bandung","Bandung, Ujungberung",1660,500,5,5
2276,349000000,"Rumah murah daerah Cilengkrang Bandung timur, Ujungberung, Bandung","Bandung, Ujungberung",84,45,2,1
2277,349000000,"Rumah syariah daerah Bandung timur, Cilengkrang, Bandung","Bandung, Cilengkrang",84,45,2,1
2278,4 M,"Villa siap huni daerah Bandung timur, Ujungberung, Bandung","Bandung, Ujungberung",1660,500,5,5
2279,349000000,"Rumah murah bisa KPR di Bandung timur, Cilengkrang, Bandung","Bandung, Cilengkrang",84,45,2,1
2280,4 M,"Villa mewah daerah Bandung timur, Ujungberung, Bandung","Bandung, Ujungberung",1660,500,5,5
2281,550000000,"Rumah minimalis paling laris bandung timur dengan harga ekonomis cisaranten, Arcamanik, Bandung","Bandung, Arcamanik",100,50,3,1
2282,"2,7 M","rumah dua muka utara selatan ujungberung, Ujungberung, Bandung","Bandung, Ujungberung",190,107,5,2
2283,"6,5 M","rumah mainroad ah nasution cocok untuk usaha dan kantor, Ujungberung, Bandung","Bandung, Ujungberung",310,250,4,3
2284,"3,75 M","villa murah dibawah harga pasaran, Ujungberung, Bandung","Bandung, Ujungberung",4223,350,6,5
2285,1 M,"rumah nyaman dan bersih, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",157,150,4,2
2286,330000000,"rumah second murah di ujungberung, Ujungberung, Bandung","Bandung, Ujungberung",60,80,2,1
2287,950000000,"rumah di Bandung timur dekat area kampus, Cileunyi, Bandung","Bandung, Cileunyi",150,100,3,2
2288,420000000,"rumah murah nyaman Bandung timur, Ujungberung, Bandung","Bandung, Ujungberung",89,72,2,2
2289,"3,2 M","rumah bandung timur cocok untuk villa, Cibiru, Bandung","Bandung, Cibiru",1000,140,3,4
2290,520000000,"rumah minimalis modern Bandung timur, Gede Bage, Bandung","Bandung, Gede Bage",90,63,2,1
2291,"9,148,000,000","Rumah mewah berkelas di Bandung timur, Ciwastra, Bandung","Bandung, Ciwastra",160,64,3,2
2292,"90,899,000,000","Rumah di kawasan elite arcamanik, harga terjangkau, Arcamanik, Bandung","Bandung, Arcamanik",84,80,3,3
2293,550000000,"RUMAH SEMI FURNISHED PERMATA RANCASAWO MARGAHAYU BANDUNG TIMUR, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",90,84,2,1
2294,"1,1 M","rumah villa dengan kpr tanpa dp dikawasan bandung timur, Ujungberung, Bandung","Bandung, Ujungberung",873,280,6,3
2295,550000000,"RUMAH MINIMALIS PERMATA RANCASAWO MARGAHAYU BANDUNG, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",90,84,2,1
2296,950000000,"Rumah Minimalis Pinus Regency, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",130,81,4,2
2297,"1,3 M","Rumah cantik bangunan OK lokasi strategis di Arcamanik, Arcamanik, Bandung","Bandung, Arcamanik",150,225,4,3
2298,900000000,"Rumah siap huni di arcamanik lingkungan nyaman dan aman, Arcamanik, Bandung","Bandung, Arcamanik",90,102,4,2
2299,530000000,"Rumah Cantik,Minimalis,Asri strategis di ujung berung,panghegar,cilengkrang,sindanglaya bandung timur, Ujungberung, Bandung","Bandung, Ujungberung",96,45,2,1
2300,500000000,"Rumah baru siap huni,strategis di ujung berung  bandung timur, Ujungberung, Bandung","Bandung, Ujungberung",100,30,2,1
2301,"1,9 M","Rumah Asri Menarik, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",252,300,4,2
2302,"64,718,000,000","Dwipapuri Residence, Cibiru, Bandung","Bandung, Cibiru",118,57,3,1
2303,528000000,"rumah Dp 30 juta kawasan Bandung utara siap huni, Ngamprah, Bandung","Bandung, Ngamprah",67,36,2,1
2304,"1,95 M","Rumah 2,5 Lt, Sejuk, Asri + View di Cluster Cigadung - Harga Nego, Cigadung, Bandung","Bandung, Cigadung",140,200,4,3
2305,"1,35 M","Segera Rumah di Belakang Borma Margacinta - Harga Nego, Margacinta, Bandung","Bandung, Margacinta",195,250,9,3
2306,"1,05 M","Rumah Minimalis Arcamanik Cisaranten Bandung Timur, Arcamanik, Bandung","Bandung, Arcamanik",120,131,3,2
2307,530000000,"Rumah Griya Bukit Manglayang Bandung Timur, Cibiru, Bandung","Bandung, Cibiru",120,120,5,3
2308,550000000,"Rumah Griya Bandung Indah Ciwastra bandung Timur, Ciwastra, Bandung","Bandung, Ciwastra",72,144,5,2
2309,"1,1 M","Rumah Jl.Pasir Rahayu Pasir Pogor Ciwastra Bandung Timur, Ciwastra, Bandung","Bandung, Ciwastra",156,55,2,1
2310,550000000,"Rumah Grya Bandung Asri Cipagalo Terusan Buah Batu, Terusan Buah Batu, Bandung","Bandung, Terusan Buah Batu",60,102,2,1
2311,"1,2 M","Rumah Pinus Regency Soekarno Hatta Bandung, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",120,100,3,2
2312,600000000,"Rumah Jl.Waluku Kiaracondong, Kiaracondong, Bandung","Bandung, Kiaracondong",78,65,3,2
2313,"1,1 M","Rumah Jingga Residence Rancasari Bandung Timur, Rancasari, Bandung","Bandung, Rancasari",110,128,3,2
2314,"1,3 M","Rumah Cluster Palem Permai Soekarno Hatta, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",115,200,4,2
2315,"2,75 M","Rumah Taman melati Cimeunyan Bandung Timur, Cimenyan, Bandung","Bandung, Cimenyan",200,350,4,3
2316,"2,5 M","Rumah Taman Melati Cimeunyan Bandung Timur, Cimenyan, Bandung","Bandung, Cimenyan",200,350,3,4
2317,"2,15 M","Rumah Antapani, Antapani, Bandung","Bandung, Antapani",148,185,4,3
2318,775000000,"Rumah Cibodas Baru Antapani, Antapani, Bandung","Bandung, Antapani",127,60,3,1
2319,"1,5 M","TURUN HARGA  ..!!! Rumah Baru dengan model minimalis modern, Cicaheum, Bandung","Bandung, Cicaheum",90,115,4,3
2320,"3,75 M","Rumah Villa  cepat, cocok utk dibangun cluster,pesantren, boarding school ..murah di bawah harga pasar,hitung tanah saja, Ujungberung, Bandung","Bandung, Ujungberung",4223,350,6,5
2321,450000000,"CLUSTER SYARIAH BANDUNG TIMUR, Cilengkrang, Bandung","Bandung, Cilengkrang",72,36,2,1
2322,450000000,"Rumah murah,strategis dp ringan dekat akses tol cileunyi, Cileunyi, Bandung","Bandung, Cileunyi",72,40,2,1
2323,699000000,"Rumah Super Murah Baru Bertingkat di Bandung Timur Eksklusif Harga di Bawah Pasar, Rancasari, Bandung","Bandung, Rancasari",84,80,3,2
2324,1 M,"Rumah murah di dalam komplek Bumi Adipura, sayap Soekarno hatta, dekat dengan Tol, dekat Summarecon bandung, Gede Bage, Bandung","Bandung, Gede Bage",90,70,2,1
2325,900000000,"perumahan mewah di kota madya, Cicaheum, Bandung","Bandung, Cicaheum",84,45,2,1
2326,"3,3 M","Rumah Sangat Mewah di Kiara Condong, Bandung Timur, Dalam Komplek, Siap Huni, 5KT, 3KM, Kiaracondong, Bandung","Bandung, Kiaracondong",265,385,5,3
2327,800000000,"Rumah mewah di Cileunyi Bandung Timur, Cileunyi, Bandung","Bandung, Cileunyi",204,190,3,4
2328,"3,5 M","Villa palem klasik asri di pasir impun bandung timur ada view, Ujungberung, Bandung","Bandung, Ujungberung",2836,500,3,3
2329,"1,7 M","Rumah di Cluster Elite Summarecon Kota Tekopolis dan Kreatif Bandung Timur, Gede Bage, Bandung","Bandung, Gede Bage",105,121,1,
2330,750000000,"RUMAH BARU, MINIMALIS, ARCAMANIK, BANDUNG TIMUR, Arcamanik, Bandung","Bandung, Arcamanik",84,70,3,2
2331,345000000,"Rumah nyaman,strategis Cicilan 2 jt an di ujung berung bandung timur, Ujungberung, Bandung","Bandung, Ujungberung",30,68,2,1
2332,900000000,"rumah mewah dekat perkotaan, Cicaheum, Bandung","Bandung, Cicaheum",84,45,2,1
2333,465000000,"rumah 2 lantai siap huni deket terminal riung bandung, Bandung Wetan, Bandung","Bandung, Bandung Wetan",60,80,3,1
2334,450000000,"Komplek Perumahan Permata Cibiru Cinunuk, Cileunyi, Bandung","Bandung, Cileunyi",81,50,2,1
2335,"1,9 M","Rumah taman persada residence Rancabolang Bandung, Gede Bage, Bandung","Bandung, Gede Bage",127,200,4,3
2336,"1,25 M","Perumahan Cijambe Indah, Ujungberung Bandung, Ujungberung, Bandung","Bandung, Ujungberung",127,110,4,3
2337,400000000,"Perum Bumi Pasundan, Sindanglaya Ujungberung Bandung, Mandalajati, Bandung","Bandung, Mandalajati",119,100,2,1
2338,"1,65 M","Kawaluyaan Indah VII Bandung, Buah Batu, Bandung","Bandung, Buah Batu",200,280,6,3
2339,850000000,"jalan Atletik Arcamanik, Arcamanik, Bandung","Bandung, Arcamanik",123,100,4,2
2340,"8,5 M","Villa di Bandung Timur, Cilengkrang, Bandung","Bandung, Cilengkrang",4500,,,
2341,600000000,"Rumah kokoh mewah mungil murah di bandung, Bandung Wetan, Bandung","Bandung, Bandung Wetan",78,115,3,2
2342,665000000,"Rumah kokoh cantik murah di ujung berung, Bandung Kota, Bandung","Bandung, Bandung Kota",75,107,3,2
2343,"1,1 M","Rumah mewah asri di bandung, Cileunyi, Bandung","Bandung, Cileunyi",170,120,3,2
2344,695000000,"Rumah cantik baru murah di ujung berung, Bandung Wetan, Bandung","Bandung, Bandung Wetan",75,107,3,2
2345,749000000,"Rumah di Bandung Timur – LT 84 LB 45 Area Gedebage, Bandung Wetan, Bandung","Bandung, Bandung Wetan",84,45,2,1
2346,530000000,"Rumah Bandung Timur Murah – LT 95 LB 45 di Cisaranten, Bandung Wetan, Bandung","Bandung, Bandung Wetan",95,45,2,1
2347,550000000,"Rumah siap huni letak hook jarang ada di Cisaranten kulon Arcamanik  Bandung Timur, Arcamanik, Bandung","Bandung, Arcamanik",45,104,2,1
2348,"1,1 M","Rumah mewah 2 Lantai full furnis baru harga murah di Bandung Timur, Arcamanik, Bandung","Bandung, Arcamanik",135,80,3,2
2349,870000000,"Rumah Over kredit nuansa Morroccan Style di De Marrakesh Derwati Bandung Timur murah, Derwati, Bandung","Bandung, Derwati",164,50,2,1
2350,420000000,"Rumah minimalis murah di Bandung Timur-soft launching Juli 2017 harga perdana murah!, Ciwastra, Bandung","Bandung, Ciwastra",72,36,2,1
2351,"1,22 M","Rumah di Bandung Timur view kota dekat transmart Cipadung, Cilengkrang, Bandung","Bandung, Cilengkrang",136,90,3,2
2352,868000000,"Rumah asri dan nyaman di Padasuka Bandung timur dekat Cicaheum bebas banjir jauh dari kebisingan kota, Padasuka, Bandung","Bandung, Padasuka",128,45,2,1
2353,"1,15 M","Rumah strategis view kota di Sindanglaya Arcamanik Bandung Timur Bandung Timur dekat ke jalan utama, Arcamanik, Bandung","Bandung, Arcamanik",167,70,3,2
2354,"1,88 M","SUMMARECON BANDUNG DP50% cicil 30x, Gede Bage, Bandung","Bandung, Gede Bage",112,97,2,1
2355,900000000,"rumah mewah kawasan bandung timur, Cicaheum, Bandung","Bandung, Cicaheum",84,45,2,1
2356,"75,865,000,000","Hunian strategis,nyaman dan terbaik di bandung timur, Rancasari, Bandung","Bandung, Rancasari",78,45,2,1
2357,"8,5 M","Villa di Bandung Timur, Cilengkrang, Bandung","Bandung, Cilengkrang",4500,400,3,3
2358,"75,865,000,000","Rumah mewah Grand Sharon Bandug Timur, Rancasari, Bandung","Bandung, Rancasari",78,45,2,1
2359,"7,235,000,000","Rumah minimalis Asri dekat Bypass Soekano-Hatta Bandung, Arcamanik, Bandung","Bandung, Arcamanik",70,65,2,2
2360,"70,218,000,000","Rumah Mewah di Bandung Timur, Rancasari, Bandung","Bandung, Rancasari",72,42,2,1
2361,350000000,"RUMAH MURAH BERNUANSA VILLA DI CILEUNYI BANDUNG TIMUR, Cileunyi, Bandung","Bandung, Cileunyi",72,40,2,1
2362,"72,375,000,000","Rumah baru di Cisaranten Kulon Minimalis Asri kota Bandung Timur, Arcamanik, Bandung","Bandung, Arcamanik",101.7,80,3,2
2363,"72,375,000,000","Rumah baru minimalis asri Arcamanik Guruminda Cisaranten kulon.. kota Bandung, Arcamanik, Bandung","Bandung, Arcamanik",70,65,2,2
2364,"72,375,000,000","Rumah minimalis yang Asri di Cisaranten kulon Kota Bandung, Arcamanik, Bandung","Bandung, Arcamanik",70,65,2,2
2365,"72,375,000,000","Rumah minimalis Asri di Arcamanik Cisaranten Bandung, Arcamanik, Bandung","Bandung, Arcamanik",70,65,2,2
2366,350000000,"Rumah Murah Nuansa Villa dekat exit tol Cileunyi Bandung Timur, Cileunyi, Bandung","Bandung, Cileunyi",72,40,2,1
2367,"4,195,000,000","Rumah dekat exit Toll Cileunyi Bandung Timur, Cileunyi, Bandung","Bandung, Cileunyi",72,40,2,1
2368,"70,218,000,000","Rumah minimalis Mewah di kota Bandung Timur Bypass Soekarno Hatta, Bandung Kota, Bandung","Bandung, Bandung Kota",72,42,2,1
2369,350000000,"RUMAH DI CILEUNYI BANDUNGTIMUR DEKAT EXIT TOLL, Cileunyi, Bandung","Bandung, Cileunyi",72,40,2,1
2370,890000000,"Rumah Cantik Minimalis, Harga Di Bawah 1 M di Antapani, Bandung Timur - Dalam Komplek, Antapani, Bandung","Bandung, Antapani",108,100,2,2
2371,950000000,"Rumah Adem dan Asri Minimalis 2 lantai Bandung timur, Cibiru, Bandung","Bandung, Cibiru",120,160,2,
2372,600000000,"ARALEA Nagrog, Ujungberung, Bandung","Bandung, Ujungberung",80,143,3,2
2373,"7,5 M","Rumah Mewah Jalan Utama Sukanagara Antapani - Bandung Timur, Antapani, Bandung","Bandung, Antapani",360,400,5,5
2374,"1,1 M","rumah baru di komp griya purwa asri daerah bandung timur-gede bage, Bandung Wetan, Bandung","Bandung, Bandung Wetan",170,120,,
2375,"1,1 M","RUMAH MURAH SIAP HUNI CISARANTEN..., Antapani, Bandung","Bandung, Antapani",225,180,4,2
2376,975000000,"Rumah Baru Siap Huni di Komplek Eksklusif Padasuka, Bandung Timur, Cicaheum, Bandung","Bandung, Cicaheum",93,105,3,2
2377,"1,46 M","Rumah Indent di Bandung Timur Padasuka dekat Antapani Arcamanik Bandung, Padasuka, Bandung","Bandung, Padasuka",86,100,3,2
2378,550000000,"Rumah Minimalis Strategis di Margahayu dekat Ciwastra Bandung, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",80,60,2,1
2379,"1,45 M","Rumah Minimalis di Komplek Sanggar Kencana, Bandung Timur, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",178,240,5,3
2380,"1,75 M","RUMAH BAGUS TERAWAT DI CISARANTEN BANDUNG TIMUR, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",176,207,3,2
2381,"2,5 M","Rumah Bagus, Nyaman, Aman di Kiaracondong, Trans Studio Mall, Bandung, Kiaracondong, Bandung","Bandung, Kiaracondong",176,150,6,3
2382,"1,85 M","RUMAH 2 LANTAI DI MARGACINTA, BANDUNG, Margacinta, Bandung","Bandung, Margacinta",140,188,4,3
2383,850000000,"rumah siap huni, Ujungberung, Bandung","Bandung, Ujungberung",110,200,5,2
2384,725000000,"RUMAH MINIMALIS ANTAPANI, JALAN 2 MOBIL Harga 725 Jt, Antapani, Bandung","Bandung, Antapani",71,110,4,2
2385,665000000,"JARANG ADA ! RUMAH MINIMALIS ANTAPANI, JALAN 2 MOBIL, Antapani, Bandung","Bandung, Antapani",71,90,4,2
2386,4 M,"Rumah Cibiru Indah Bandung Timur – LT 550 LB 400, Bandung Wetan, Bandung","Bandung, Bandung Wetan",550,400,4,4
2387,"1,3 M","Rumah di Padasuka Cicaheum Bandung – LT 210 LB 110, Bandung Wetan, Bandung","Bandung, Bandung Wetan",210,110,3,2
2388,"45,045,000,000","Hunian nyaman,aman,sejuk,di ujung berung,cilengkrang,sindanglaya bandung timur, Ujungberung, Bandung","Bandung, Ujungberung",65,36,2,1
2389,"5,854,000,000","Dp rendah bandung timur harga perdana, Cilengkrang, Bandung","Bandung, Cilengkrang",80,42,2,1
2390,"2,2 M","Rumah Beserta Isinya + View di Ciwaruga - Harga Nego, Geger Kalong, Bandung","Bandung, Geger Kalong",210,280,4,3
2391,"1,5 M","Rumah Design Menarik di Arcamanik, Bandung Timur - Sangat Siap Huni, Arcamanik, Bandung","Bandung, Arcamanik",208,200,4,3
2392,850000000,"Rumah Harga di Bawah 1 M di Antapani, Bandung Timur - Dalam Komplek, Siap Huni, Antapani, Bandung","Bandung, Antapani",75,140,2,2
2393,900000000,"Rumah Minimalis Modern Bandung dengan Skema KPR Syariah Tanpa RIBA, Cicaheum, Bandung","Bandung, Cicaheum",120,65,2,1
